index,value
2518,672
2519,680
2520,694
2521,700
2522,714
2523,720
2524,734
2525,740
2526,754
2527,758
2528,772
2529,778
2530,790
2531,796
2532,806
2533,812
2534,824
2535,830
2536,840
2537,844
2538,854
2539,860
2540,870
2541,874
2542,884
2543,888
2544,896
2545,900
2546,908
2547,912
2548,920
2549,924
2550,932
2551,934
2552,942
2553,944
2554,948
2555,954
2556,960
2557,960
2558,966
2559,968
2560,974
2561,974
2562,980
2563,982
2564,984
2565,986
2566,990
2567,990
2568,994
2569,994
2570,996
2571,996
2572,998
2573,998
2574,998
2575,998
2576,998
2577,998
2578,998
2579,998
2580,996
2581,996
2582,996
2583,994
2584,992
2585,990
2586,988
2587,986
2588,984
2589,982
2590,980
2591,976
2592,972
2593,970
2594,966
2595,962
2596,958
2597,954
2598,948
2599,946
2600,938
2601,936
2602,930
2603,926
2604,920
2605,914
2606,906
2607,902
2608,894
2609,888
2610,880
2611,876
2612,868
2613,862
2614,852
2615,848
2616,838
2617,832
2618,820
2619,814
2620,804
2621,800
2622,786
2623,780
2624,770
2625,764
2626,750
2627,742
2628,730
2629,724
2630,710
2631,704
2632,690
2633,682
2634,668
2635,662
2636,646
2637,640
2638,626
2639,618
2640,604
2641,594
2642,580
2643,572
2644,556
2645,548
2646,532
2647,522
2648,508
2649,498
2650,484
2651,474
2652,458
2653,450
2654,432
2655,422
2656,404
2657,396
2658,378
2659,370
2660,352
2661,342
2662,326
2663,316
2664,298
2665,288
2666,270
2667,260
2668,242
2669,232
2670,214
2671,206
2672,186
2673,176
2674,158
2675,148
2676,130
2677,120
2678,100
2679,92
2680,72
2681,62
2682,44
2683,34
2684,14
2685,6
2686,-14
2687,-24
2688,-42
2689,-52
2690,-72
2691,-82
2692,-100
2693,-110
2694,-128
2695,-138
2696,-160
2697,-168
2698,-184
2699,-196
2700,-214
2701,-224
2702,-242
2703,-252
2704,-860
2705,-856
2706,-846
2707,-840
2708,-828
2709,-824
2710,-814
2711,-808
2712,-796
2713,-792
2714,-780
2715,-772
2716,-760
2717,-756
2718,-742
2719,-734
2720,-720
2721,-716
2722,-702
2723,-694
2724,-682
2725,-674
2726,-658
2727,-652
2728,-638
2729,-630
2730,-616
2731,-608
2732,-592
2733,-584
2734,-568
2735,-560
2736,-544
2737,-536
2738,-520
2739,-512
2740,-494
2741,-488
2742,-470
2743,-462
